(nil), 0x4bd7bf0 [|][0]
0x4bd7bf0, 0x4bd7b60 [{][0]
0x4bd7b60, 0x4bd7ad0 [=][0]
0x4bd7ad0, 0x4bd79b0 [I][0]
0x4bd7ad0, 0x4bd7a40 [d][5]
